Order ID,Order Date,Customer ID,Customer Name,Address Line 1,City,Country,Postcode,Loyalty Card,Product ID,Coffee Type,Roast Type,Quantity,Size,Unit Price,Price per 100g,Profit,Sales
QEV-37451-860,05-09-2019,17670-51384-MA,Aloisia Allner,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,R-M-1,Robust,Medium,2,1,9.95,0.995,0.597,19.9
QEV-37451-860,05-09-2019,17670-51384-MA,Aloisia Allner,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,E-M-0.5,Excelsa,Medium,5,0.5,8.25,1.65,0.9075,41.25
FAA-43335-268,17-06-2021,21125-22134-PX,Jami Redholes,5214 Bartillon Park,San Antonio,United States,78205,Yes,A-L-1,Arabica,Light,1,1,12.95,1.295,1.1655,12.95
KAC-83089-793,15-07-2021,23806-46781-OU,Christoffer O' Shea,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,E-M-1,Excelsa,Medium,2,1,13.75,1.375,1.5125,27.5
KAC-83089-793,15-07-2021,23806-46781-OU,Christoffer O' Shea,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,R-L-2.5,Robust,Light,2,2.5,27.485,1.0994,1.6491,54.97
CVP-18956-553,04-08-2021,86561-91660-RB,Beryle Cottier,2651 Stoughton Place,Scranton,United States,18505,No,L-D-1,Liberica,Dark,3,1,12.95,1.295,1.6835,38.85
IPP-31994-879,21-01-2022,65223-29612-CB,Shaylynn Lobe,7005 Mariners Cove Place,Dayton,United States,45440,Yes,E-D-0.5,Excelsa,Dark,3,0.5,7.29,1.458,0.8019,21.87
SNZ-65340-705,20-05-2022,21134-81676-FR,Melvin Wharfe,7 Straubel Road,Kill,Ireland,P24,Yes,L-L-0.2,Liberica,Light,1,0.2,4.755,2.3775,0.61815,4.755
EZT-46571-659,02-01-2019,03396-68805-ZC,Guthrey Petracci,949 Paget Parkway,Los Angeles,United States,90045,No,R-M-0.5,Robust,Medium,3,0.5,5.97,1.194,0.3582,17.91
NWQ-70061-912,05-09-2019,61021-27840-ZN,Rodger Raven,1 Reinke Avenue,Los Angeles,United States,90065,No,R-M-0.5,Robust,Medium,1,0.5,5.97,1.194,0.3582,5.97
BKK-47233-845,08-03-2021,76239-90137-UQ,Ferrell Ferber,68 High Crossing Court,San Jose,United States,95160,No,A-D-1,Arabica,Dark,4,1,9.95,0.995,0.8955,39.8
VQR-01002-970,28-10-2020,49315-21985-BB,Duky Phizackerly,28643 Bluejay Crossing,San Jose,United States,95194,Yes,E-L-2.5,Excelsa,Light,5,2.5,34.155,1.3662,3.75705,170.775
SZW-48378-399,02-07-2022,34136-36674-OM,Rosaleen Scholar,80915 Montana Park,Richmond,United States,23285,No,R-M-1,Robust,Medium,5,1,9.95,0.995,0.597,49.75
